idcliente;nombre;apellidos;razonsocial;cif;cp;domicilio;provincia;municipio;telefono;fax;email;web;observaciones;codcliente;er;certificadocaduca;suministrode;ctabancaria;fecha1;fecha2;fecha3;cliente;proveedor;fct;pdb;colaborador;otrasempresas;interesadosbolsa;asociacion;salesiano;interesado;ayuntamiento;contacto;cargo;tipo;cursointeresado;aceptamailing;fechanac;nacionalidad;sexo;movil;idespecialidad;idespecialidad2;idespecialidad3;idespecialidad4;idespecialidad5;iban;bic;convenio;conveniofecha;especialidadtexto
24;CEPYME ARAG�N;NULL;NULL;G50336585;50010;C SANTANDER, 36, 2� PLANTA;ZARAGOZA;ZARAGOZA;976766060;976330078;NULL;NULL;"Tel�fonos Boris: Casa: 976756635 /M�vil: 647131001/ Luc�a: Mujer:616027003
N�CENTRO: 002
-PODEMOS HACERNOS COPIA DE LAS ENCUESTAS FINALES, SEG�N CORREO DE RUBEN GIL (11/02/2010)
-Desde el lunes d�a 9/07/12 todos en: Direcci�n de Formaci�n: C/Santander, 36, 2� planta o Parque Roma F-1, local 12H
- No se pasan ficha de alumno ni encuestas.
- Las listas de asistencia las facilitan e";CEP;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
25;CEOE ARAG�N;NULL;NULL;G50100387;50004;C/ Val-Carreres, 10;ZARAGOZA;ZARAGOZA;976460064;976322956;glalaguna@cez.es;www.cez.es    -     www.cezdirecto.org;"N� CENTRO:001
- Ellos entregan todo el material.
- Env�ar diariamente control de asistencia por fax.
- Enviar por mensajero semanalmente el control de asistencia. 
- La asistencia la facilitan ellos.
- No se hacen diplomas.
- Podemos pasar nuestras ";CEO;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;1;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
30;FORMACI�N T�CNICO PROFESIONAL;NULL;NULL;B81659013;28020;C PENSAMIENTO, 27, ESC. IZDA. 3�, 3�;MADRID;MADRID;911405535;915711431;correo7@infonegocio.com;NULL;ALQUILER DE AULAS;FTP;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;1;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
32;SERVICIOS INFORM�TICOS DAT, S.L.;NULL;SERVICIOS INFORM�TICOS DAT, S.L.;B48762413;48392;B� Zugastieta, 12 (Antiguas Escuelas);VIZCAYA;NULL;946301995;946730119;NULL;www.servidat.com;NULL;NULL;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;1;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
34;PREVENSALUD;NULL;NULL;B50733278;50010;CALLE PADRE MANJON, 13-15;ZARAGOZA;ZARAGOZA;976742039;976742372;prevensaludzaragoza@telefonica.net;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;1;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
35;EUROEXPORT FORMACI�N, S.L.;NULL;NULL;B50643410;50007;C SIM�N SAINZ DE VARANDA, 8-10, LOCAL;ZARAGOZA;ZARAGOZA;976255680;976271082;NULL;NULL;#�NOMBRE?;EUR;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
36;LIZAGA-UBALDE, S.L.;NULL;NULL;;50740;CTRA. CASTELL�N, KM. 207;ZARAGOZA;;976161128;;;;;;;;;;0000-00-00;0000-00-00;0000-00-00;1;0;NULL;NULL;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
23693;RIEGOSALZ;NULL;NULL;NULL;50810;C/ LA ONTINA, 3;ZARAGOZA;ONTINAR DEL SALZ;976693029;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
39;GFT IT CONSULTING, SLU - ZARAGOZA;NULL;NULL;A08381071;50002;PZA. ANTONIO BELTR�N MART�NEZ, 1 ED. EL TROBADOR PLANTA 5;ZARAGOZA;ZARAGOZA;976763600;976763610;alfonsogarcia_alfranca@gft.com;NULL;"-Desde 6 de Junio de 2009 se denominar� GFT IT CONSULTING, SOCIEDAD LIMITADA, SOCIEDAD UNIPERSONAL. A PARTIR DE ESTA FECHA LA DOCUMENTACI�N DE CONTRATOS Y FACTURACI�N LA DIRECCI�N SER� LA SIGUIENTE:

-GFT IT CONSULTING, Sociedad Limitada, Sociedad Uni";GFT;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
42;VEHICASA;NULL;NULL;;;;;;976501080;;;;#�NOMBRE?;;;;;;0000-00-00;0000-00-00;0000-00-00;1;0;NULL;NULL;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
47;KESSEL AUTOMOTIVE IB�RICA, S.A.;NULL;NULL;;8191;C LUXEMBURGO, 3-9, POL�GONO INDUSTRIAL COVA SOLERA;;;935880078;935875236;;;;;;;;;0000-00-00;0000-00-00;0000-00-00;1;0;NULL;NULL;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
48;CONSTRUCCIONES TABUENCA, S.A.;NULL;NULL;A50310366;50005;AVDA. HERN�N CORT�S, 32, 1� PLANTA;ZARAGOZA;ZARAGOZA;976302003;NULL;dpto.tecnico@grupotabuenca.com;NULL;"- Para la facturaci�n pasar recibo por el banco a la cuenta:
CONSTRUCCIONES TABUENCA
2085-0103-91-0301345210
Vto. 15 � 20 de cada mes

PROYDARTE, S.L.
2085-0103-92-0330870665
Vto. 15 � 20 de cada mes
dgil@proydarte.es";NULL;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
50;LECITRAILER;NULL;NULL;B64537888;50620;CAMINO DE LOS HUERTOS, S/N;ZARAGOZA;;976462121;;;;- Est� a 12 km de distancia aprox.;;;;;;0000-00-00;0000-00-00;0000-00-00;1;0;NULL;NULL;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
51;FEDERACI�N DE SANIDAD DE CC.OO.;NULL;NULL;;50008;PASEO DE LA CONSTITUCI�N, 12, 5� PLANTA;ZARAGOZA;ZARAGOZA;976214825;976214825;;;"- Los cursos se hacen a trav�s de FOREM:
FOREM
Mariana Pineda, local
50018 ZARAGOZA
Tel: 976798440 - Fax: 976741800

- Enviar la asistencia semanal (que el profesor sea estricto con la asistencia, que pase cada d�a el control de firmas que correspon";;;;;;0000-00-00;0000-00-00;0000-00-00;1;0;NULL;NULL;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
52;FORUM ARAG�N, S.A.;NULL;NULL;A50211754;50005;C LUIS L�PEZ ALLU�, 5;ZARAGOZA;ZARAGOZA;976389238;976382798;menavas@forumaragon.com;NULL;"- Seguimiento cursos CC.OO.
Marlene Baz�n
Lapuyade, 8-10
50007 ZARAGOZA
Tel. y fax: 976256470
- Como no es el correo directo de Marlen hay que poner que va a su atencion.";NULL;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
58;SAINT-GOBAIN VICASA, S.A.;NULL;NULL;A19001304;50080;CTRA. VALENCIA, KM. 8;ZARAGOZA;ZARAGOZA;976463926;976505506;;;#�NOMBRE?;;;;;;0000-00-00;0000-00-00;0000-00-00;1;0;NULL;NULL;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
61;SAMCA ZARAGOZA;NULL;NULL;NULL;50001;PASEO INDEPENDENDIA, 21, 6�;ZARAGOZA;ZARAGOZA;976232069;976238703;NULL;"Luis Dieste: ldieste@samca.com; Ramon Ormazabal: rormazabal@samca.com";"- Las listas de asistencia las hacemos en su propio formato, que hay que solicitarlo.

Tel�fono de Ram�n Ormazabal: 976216129.

MYTA - SAMCA ORERA
Luis Dieste
Camino del Barranco, s/n
50331  ORERA  (ZARAGOZA)";NULL;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
62;FEMZ;NULL;NULL;G50081033;50010;C SANTANDER, 36, 2� PLANTA;ZARAGOZA;ZARAGOZA;976766060;976330078;NULL;NULL;"Desde el d�a 9/7/12: La direcci�n de cepyme-femz: C/ SANTANDER N� 36, 2� PLANTA 50010 
O TAMBI�N, PUEDE ACCEDER POR URB. PARQUE ROMA F-1, 2� PLANTA 50010
N� CENTRO: 870
- Las listas de asistencia las facilitan ellos, cada dia se les envia por correo electronico a ANA ARA.
- No se hacen diplomas.
- Los libros se los tenemos que facilitar nosotros al profe";FEM;;;;;0000-00-00;0000-00-00;0000-00-00;1;0;NULL;NULL;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
63;HOSPITAL CL�NICO UNIVERSITARIO LOZANO BLESA;NULL;HOSPITAL CL�NICO UNIVERSITARIO LOZANO BLESA;Q5000442C;50009;AVDA. SAN JUAN BOSCO, 15;ZARAGOZA;ZARAGOZA;976556400;976564561;mcastellanom@salud.aragon.es;NULL;"EMAIL GRAL DE FORMACI�N (M� �ngeles y Carmen ) denf-formacion.hcu@salud.aragon.es
1. Fco. Javier Mart�nez. Contacto para el curso de conductor de instalaciones.
- La lista de asistencia la realizamos aqu�, seg�n modelo, los diplomas con el logotipo.
- Los diplomas junto con el resto de documentaci�n se hace llegar a M� Angeles Castel";CLI;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;1;1;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
23631;HIDRAM AMARRES HIDRONAUM�TICOS, S.L.;NULL;NULL;NULL;50197;POL. IND. LA PLAZA, C/ CELSA, 15;ZARAGOZA;ZARAGOZA;976524722;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
23632;HIDRAULICA ARAG�N, S.L.;NULL;NULL;B50070531;50014;JOAQU�N NUMANCIA, 3;ZARAGOZA;ZARAGOZA;976464292;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
23633;HIDRONEUM�TICA ANLO, S.A.;NULL;NULL;A50307545;50180;CTRA. DE LOGRO�O, 13;ZARAGOZA;UTEBO;976417236;NULL;info@anlo.es;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
69;LACOR-TEM;NULL;NULL;;50015;VALLE DE ZURIZA, 42  LOCAL;ZARAGOZA;ZARAGOZA;976233493;976238068;;;"- EMPRESA DE TRABAJO TEMPORAL, S.L.
- La empresa env�a listado de asistentes, realimos la hoja de firmas, seg�n modelo, una hoja por alumno.
- Los diplomas los realizamos nosotras y se los entregamos al coordinador para que los haga llegar al profesorad";;;;;;0000-00-00;0000-00-00;0000-00-00;1;0;NULL;NULL;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
23683;LAGUN MACHINERY, S.L.;NULL;NULL;NULL;1170;CTRA. BERGARA, N� 4, P.I. LLADLE, PAB. 7;ALAVA;LEGUTLANO;945264600;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
23689;BRICO ACTUAL, S.L. - MIX MAK HIPER HOGAR;NULL;NULL;B99441404;50011;AVDA. NAVARRA, 180;ZARAGOZA;ZARAGOZA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
72;SEGUROS (GESTI�N PROFESIONAL, S.L.);NULL;NULL;B50329200;50010;C SANTANDER, 36, PASAJE ROMA, LOCAL 11;ZARAGOZA;ZARAGOZA;976533216;976315065;NULL;NULL;"- Seguros para los cursos libres
- Coste por alumno 3,84 �. Ahora este precio se ve modificado seg�n el n� de alumnos y horas, por lo tanto habr� que consultar un par de d�as antes del comienzo para que nos digan el precio real.
- Cubre: Asistencia sani";NULL;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;1;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
23715;ADICAE ASOCIACI�N DE USUARIOS DE BANCOS, CAJAS Y SEGUROS;NULL;NULL;G50223791;50001;C/ Gav�n, 12 - local;ZARAGOZA;ZARAGOZA;976390060;NULL;NULL;NULL;NULL;ADI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74;FEDERACI�N MINEROMETAL�RGICA DE CC.OO;NULL;NULL;G81436073;50008;PASEO DE LA CONSTITUCI�N, 12, 2� PLANTA;ZARAGOZA;ZARAGOZA;976239185;976232172;NULL;NULL;"- Para cualquier tipo de comunicaci�n enviar siempre por correo electr�nico a Rafael y Mari
- El control de asistencia lo facilitan ellos.
- No hay que realizar diplomas (a�o 2005)
- A Mari se le env�a la lista de asistencia al d�a siguiente del inicio";CCO;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
75;FOREM (CENTRO FORMACI�N);NULL;NULL;;50009;ANDADOR RAFAELA APARICIO, 15, BAJO;ZARAGOZA;ZARAGOZA;976510256;976741800;administracion@araforem.com;;"FOREM (OFICINAS)
C LA SALINA, 5, LOCAL (50003 ZARAGOZA)
Tel.:976798440 / Fax: 976741800

- Env�ar la asistencia semanal: que el profesor sea estricto con la asistencia, que pase cada d�a el control de firmas que corresponde a ese d�a para evitar tramp";;;;;;0000-00-00;0000-00-00;0000-00-00;1;0;NULL;NULL;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
76;STELLANTIS - PSA GROUP - (OPEL ESPA�A, S.L.);NULL;NULL;B50629187;50639;POL�GONO ENTRERRIOS, CTRA. NACIONAL, 232, KM. 29;ZARAGOZA;FIGUERUELAS;976658692;976659066;NULL;NULL;"N� DUNS DE SALESIANOS: 633381587 este debe ser el bueno  /   633650957
SWIFT: POPUESMM
IBAN: ES75-0075-0006-02-0600828404

Enviar fra. a Enma Mor�n
En noviembre 2010 nos solicitaron BIC (documentaci�n guardada en cartas 2010)
1. David Pes Puig. Jefe de Turno de Carrocer�a 976658669 david.pes.puig@gm.com
2. Antonio Baleriola";OPE;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;1;NULL;1;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
77;INAEM (Direcci�n Provincial de Zaragoza);NULL;NULL;Q5000438A;50018;Avda. Ranillas, 101;ZARAGOZA;ZARAGOZA;976715770;976714234;NULL;www.inaem.es;NULL;NULL;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
78;INDITEX (PLATAFORMA EUROPA, S.A.);NULL;NULL;NULL;50197;Pol�gono Plaza, Carretera Nacional, 125, Km 2;ZARAGOZA;ZARAGOZA;976539200;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0000-00-00;0000-00-00;0000-00-00;1;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
